FIRST,MIDDLE,LAST,RACE,ETHNICITY,GENDER,ADDRESS,CITY,POSTCODE
Laurence,Walter,Green,white,nonmixed,M,996 Davey Port Apt 13,Plymouth,PL1
Chelsea,Valerie,Baker,white,nonmixed,F,430 Rahman Neck Suite 87,Filton,BS34
Phyllis,Marian,Scott,white,nonmixed,F,148 Poole Row Unit 16,Tiverton,EX16
Charlotte,Olivia,Davies,white,nonmixed,F,678 Morrison Track Suite 56,Taunton,TA1
Ann,Anne,Baldwin,white,nonmixed,F,978 Long Forge Unit 25,Christchurch,BH23
Paul,Terry,Burton,white,nonmixed,M,520 Morris Quay,Bulford Camp,SP4
Derek,Claude,Reynolds,white,nonmixed,M,396 Baker Parade,Plymstock,PL1
Jessica,Alma,Ryan,other,nonmixed,F,1003 Cooper Ranch Suite 29,Gloucester,GL1
Denise,Ellen,Hussain,white,nonmixed,F,267 Stevenson Ranch,Innsworth,GL3
Irene,Amy,Perry,white,nonmixed,F,803 Uddin Alley,Cheltenham,GL50
Georgina,Agnes,Poole,white,nonmixed,F,363 Coleman Club Suite 27,Gloucester,GL1
Sarah,Edna,Fuller,white,nonmixed,F,250 Gurung Rue,Taunton,TA1
Deborah,Millicent,Singh,white,nonmixed,F,603 Sullivan Divide,Tiverton,EX16
Sally,Muriel,Butler,white,nonmixed,F,424 Henry Burg,Plymouth,PL1
Sian,Samantha,Nicholls,white,nonmixed,F,712 King Rue Suite 86,Poole,BH15
Barbara,Marie,Holland,black,nonmixed,F,649 Harper Corner Suite 4,St Austell,PL25
Mathew,Damian,Bates,white,nonmixed,M,124 Matthews Station,Swindon,SN1
Robert,Victor,Cunningham,white,nonmixed,M,575 Norman Trace Unit 94,Chippenham,SN14
Percy,Marc,Pritchard,white,nonmixed,M,111 Bradshaw Grove,Brixham,TQ5
Dean,Vincent,Frost,white,nonmixed,M,841 Whitehead Trail Unit 42,Taunton,TA1
Gordon,Lawrence,Holt,white,nonmixed,M,390 Barrett Walk Suite 39,Falmouth,TR10
Clara,Minnie,Kent,white,nonmixed,F,149 Kaur Parade Unit 28,Exeter,EX4
Douglas,Nigel,Hunt,white,nonmixed,M,970 O'Connor Highlands,Helston,TR13
Joyce,Muriel,Clark,other,nonmixed,F,570 Bradshaw Flat,Gloucester,GL1
Glenn,Lewis,Poole,white,nonmixed,M,135 Porter Mill,Sidmouth,EX10
Paige,Denise,Chambers,white,nonmixed,F,220 Bibi Stravenue,Poole,BH15
Antony,Gerard,Read,white,nonmixed,M,888 Ahmed Gateway Apt 67,Clevedon,BS21
Oliver,Barry,Wood,white,nonmixed,M,614 Bishop Plaza Suite 75,Barnstaple,EX31
Paul,Stuart,O'Brien,white,nonmixed,M,818 Brookes Mission Suite 6,Wadebridge,PL27
Reginald,Gerald,Choudhury,white,nonmixed,M,996 Griffin Frontage road,Plymouth,PL1
Christopher,Ryan,Green,white,nonmixed,M,1023 Holmes Bypass Suite 85,Tiverton,EX16
Patrick,Malcolm,Shah,white,nonmixed,M,671 Payne Corner Apt 16,Tavistock,PL19
Gareth,Rodney,Nicholls,white,nonmixed,M,209 Barlow Row Apt 44,Falmouth,TR10
Susan,Jennifer,Robson,white,nonmixed,F,483 Graham Mill,Bristol,BS1
Stephen,Gordon,Francis,white,nonmixed,M,383 Bentley Track,Poole,BH15
Samantha,Eva,Parsons,white,nonmixed,F,1065 Gilbert Quay,Yate,BS36
Daniel,Mathew,Gordon,white,nonmixed,M,786 Francis Center,Helston,TR13
Sarah,Leanne,Hall,white,nonmixed,F,312 King Port Suite 17,Chippenham,SN14
Clare,Jill,Watkins,white,nonmixed,F,1025 Jackson Mews Apt 45,Poole,BH15
Jonathan,Edward,Hodgson,white,nonmixed,M,963 Watts Glen Suite 80,Bournemouth,BH1
Sidney,William,Cooper,white,nonmixed,M,401 Hart Byway Apt 88,Torpoint,PL11
